Literal Lemma;IWN ID;MariTerm ID;IWN sense;MariT sense;Gloss S. (WM);Total S.;T. Relation S.;Malus;Bonus;MariTerm Gloss
goletta;N#10371;N#1517;1;1;-0.03;0.08;0.12;-0.33;0.33;veliero a due alberi di trinchetta e di maestra con vele auriche e bompresso
numero;N#17388;N#2724;5;2;0.41;0.08;0.00;-0.33;0.00;numero  massa  grandezza di qcs quantità di denaro  di merci  di energia
manifestazione;N#25809;N#2134;2;1;0.00;0.08;0.41;-0.33;0.00;
amperometro;N#21090;N#1652;1;1;0.41;0.08;0.00;-0.33;0.00;strumento per misurare l intensità della corrente elettrica
imbarcare;V#32560;V#616;1;1;0.16;0.08;0.25;-0.33;0.00;caricare o prendere a bordo di una nave o di un imbarcazione in genere cose persone animali
pontone;N#28845;N#378;1;1;0.32;0.07;0.41;-0.66;0.00;grosso e robusto galleggiante a fondo piatto usato un tempo per traghettare i passeggeri e oggi per trasporto di grossi pesi
pireliometro;N#30663;N#2553;1;1;0.39;0.06;0.00;-0.33;0.00;"strumento per la misura della radiazione solare diretta
"
abbrivare;V#40581;V#1870;1;1;0.71;0.05;0.00;-0.66;0.00;mettere in moto  far acquistare velocità
barbariccio;N#49607;N#1925;1;1;0.37;0.04;0.00;-0.33;0.00;piccola barca a remi usata in sardegna per la pesca dei tonni
psicrometro;N#26459;N#2538;1;1;0.37;0.04;0.00;-0.33;0.00;strumento che misura l’umidità relativa dell’aria mediante la valutazione della differenza nelle letture di due termometri affiancati  uno a secco e l altro avvolto da una garza imbevuta di acqua
abbrivio;N#18376;N#177;1;2;0.69;0.03;0.00;-0.66;0.00;moto progressivo iniziale di una imbarcazione dovuta alla sua propulsione o ad altri fattori esterni  quali il vento o la corrente
risacca;N#30185;N#1788;1;1;0.35;0.02;0.00;-0.33;0.00;moto di ritorno impresso a un onda da un ostacolo contro cui urta scogli  moli  ecc
betta;N#743;N#1933;1;1;-0.10;0.02;0.12;-0.33;0.33;piccola nave sussidiaria della marina militare
vaporetto;N#30075;N#573;1;1;-0.10;0.02;0.12;-0.33;0.33;piccola nave a vapore o a motore 
brezza;N#29461;N#105;2;1;1.00;0.01;0.00;-0.99;0.00;vento tipico delle coste che spira mattina e sera in direzioni opposte
cassa;N#24551;N#596;1;1;1.00;0.01;0.00;-0.99;0.00;recipiente  a forma di parallelepipedo  provvisto di coperchio
nadir;N#25339;N#1344;1;1;0.34;0.01;0.00;-0.33;0.00;è il punto della sfera celeste diametralmente opposto allo zenit
movimento;N#191;N#2149;6;2;0.32;-0.01;0.00;-0.33;0.00;
mareografo;N#29021;N#2551;1;1;0.32;-0.01;0.00;-0.33;0.00;strumento per il rilevamento del livello medio marino
cacciasommergibili;N#3112;N#555;1;1;-0.10;-0.02;0.41;-0.33;0.00;
campana;N#20937;N#1065;2;1;0.31;-0.02;0.00;-0.33;0.00;"strumento che si usa a bordo per segnalazioni es in caso di nebbia o per segnalare allarmi 
"
guidone;N#8044;N#1537;2;1;0.30;-0.03;0.00;-0.33;0.00;"bandiera di forma triangolare o di striscia  che rappresenta il club di appartenenza o la compagnia di navigazione nella navi della marina mercantile
"
indice;N#12555;N#1615;1;1;0.29;-0.04;0.00;-0.33;0.00;ago o altro tipo si sistema di segnalazione di uno strumento di misura o di un indicatore
remata;N#20879;N#1769;1;1;-0.10;-0.06;0.04;-0.33;0.33;colpo di remo
dare;V#32785;V#2146;9;1;0.27;-0.06;0.00;-0.33;0.00;
altocumulo;N#28519;N#2541;1;1;0.18;-0.07;0.41;-0.66;0.00;nube stratificata bianca o grigiastra costituita da estese file di nubi cumuliformi ravvicinate fra loro
successione;N#13124;N#2175;4;1;0.26;-0.07;0.00;-0.33;0.00;serie ordinata di cose  elementi o persone
affondare;V#37265;V#1867;2;3;0.26;-0.07;0.00;-0.33;0.00;mandare a a fondo
ponente;N#19555;N#2501;2;2;0.25;-0.08;0.00;-0.33;0.00;vento estivo  fresco e pomeridiano che spira da ovest la sua influenza è principalmente sentita sul tirreno e sull adriatico centromeridionale
canoa;N#15569;N#361;2;2;0.25;-0.08;0.00;-0.33;0.00;la marina da diporto dà questo nome a un battello lungo circa 5 metri  con fasciame sovrapposto  prua e poppa pontate  un albero con vela di taglio e un fiocco
cambusiere;N#1909;N#1056;1;1;0.24;-0.09;0.00;-0.33;0.00;addetto alla custodia e distribuzione dei viveri  cuoco di bordo
anticiclone;N#5234;N#958;1;1;0.24;-0.09;0.00;-0.33;0.00;area circoscritta dove la pressione atmosferica è massima
andana;N#4165;N#783;2;1;0.24;-0.09;0.00;-0.33;0.00;"modalità di ormeggio  per cui una imbarcazione si ormeggia affiancandosi ad un altra ormeggiata alla banchina o a sua volta affiancata
"
misurare;V#38836;V#1007;4;1;0.24;-0.09;0.00;-0.33;0.00;stabilire un rapporto fra una grandezza e un altra omogenea usata come unità di misura
lossodromia;N#25275;N#1643;1;1;0.23;-0.10;0.00;-0.33;0.00;linea retta che incrocia i meridiani con un angolo costante e  il percorso normalmente seguito navigando con la bussola
imbarco;N#27869;N#615;1;1;-0.10;-0.10;0.33;-0.66;0.33;azione dell imbarcare
varea;N#22376;N#1668;1;1;0.22;-0.11;0.00;-0.33;0.00;"nome generico per indicare la parte terminale di qualsiasi asta orizzontale dell alberatura
"
altura;N#1342;N#860;2;1;0.22;-0.11;0.00;-0.33;0.00;mare lontano dalle coste
barcone;N#25799;N#60;1;1;0.74;-0.11;0.14;-1.32;0.33;grossa imbarcazione per il trasporto delle merci 
bucintoro;N#31704;N#1940;1;1;0.21;-0.12;0.00;-0.33;0.00;barca da parata con una ventina di remi per lato  usata a venezia per la cerimonia dello sposalizio col mare
grecale;N#7398;N#1004;1;1;0.21;-0.12;0.00;-0.33;0.00;vento che spira da nordest a sudovest sul mediterraneo centrale e meridionale nelle stagioni fredde
sbandare;V#50860;V#907;1;1;0.20;-0.13;0.00;-0.33;0.00;inclinarsi lateralmente a causa del vento  del moto ondoso o di uno spostamento dei pesi a bordo
marina;N#22040;N#48;3;2;0.86;-0.13;0.00;-0.99;0.00;complesso delle persone e delle imbarcazioni addette alla navigazione
oblò;N#14227;N#852;1;1;0.20;-0.13;0.00;-0.33;0.00;finestra circolare delle navi  dotata di vetro molto spesso che può essere apribile o fisso
scirocco;N#4628;N#995;1;1;0.20;-0.13;0.00;-0.33;0.00;vento originariamente caldo e secco proveniente da sudest dal continente africano durante il suo tragitto attraversa il mediterraneo caricandosi di umidità  quindi raggiunge umido e violento l europa
lunghezza;N#30588;N#1644;4;1;0.19;-0.14;0.00;-0.33;0.00;"distanza tra la prua e la poppa dello scafo  misurata sull asse longitudinale escludendo eventuali estremità
"
governare;V#35400;V#2722;7;3;0.18;-0.15;0.00;-0.33;0.00;detto di una nave  rispondere ai comandi
manovra;N#5696;N#638;2;1;0.19;-0.15;1.31;-2.97;1.32;azione o insieme di azioni per dirigere o modificare il movimento di una nave o di una imbarcazione per effettuare una manovra si utilizzano il timone  le ancore ed il sistema di propulsione motore ed eliche oppure le vele nei velieri
arruolare;V#37404;V#813;3;1;0.18;-0.15;0.00;-0.33;0.00;assumere chi è iscritto nelle matricole della gente di mare  perché faccia parte dell equipaggio
stivaggio;N#28339;N#423;1;1;0.26;-0.15;0.25;-0.66;0.00;operazione dello stivare
ridurre;V#36987;V#1774;1;2;0.18;-0.15;0.00;-0.33;0.00;si usa comunemente con riferimento alla velatura  intendendo la presa di terzaroli o la sostituzione di una vela di prua con una di minor superficie
assicurare;V#33239;V#1829;5;1;0.18;-0.15;0.00;-0.33;0.00;legare saldamente  fermare  fissare
trasbordo;N#5112;N#654;1;1;-0.07;-0.15;0.25;-0.33;0.00;scarico delle merci in un porto  hub  per poi reimbarcarle
grandine;N#28006;N#2535;2;1;0.17;-0.16;0.00;-0.33;0.00;precipitazione atmosferica di acqua gelata in piccole masse di dimensioni variabili causata dall improvviso raffreddamento del vapore acqueo
alluminio;N#21688;N#2012;2;1;0.17;-0.16;0.00;-0.33;0.00;metallo leggero e di elevate caratteristiche meccaniche che lo rendono molto adatto alla costruzione di imbarcazioni
associazione;N#5332;N#2650;1;1;0.16;-0.17;0.00;-0.33;0.00;unione organizzata di più persone con finalità comuni
tramontana;N#20229;N#931;1;1;0.16;-0.17;0.00;-0.33;0.00;vento freddo che spira da nord  in inverno  e può investire tutta la penisola italiana
catamarano;N#28196;N#1560;1;1;0.15;-0.18;0.00;-0.33;0.00;imbarcazione a vela con due scafi
orario;N#3344;N#2271;1;1;0.15;-0.18;0.00;-0.33;0.00;" l ora o le ore in cui si svolge un certo fatto o una determinata attività orario di lavoro  d ufficio  orario di partenza di un aereo  orario di apertura  di chiusura  ora in cui negozi  uffici  banche e sim aprono o chiudono
"
prendere;V#37458;V#2147;5;2;0.15;-0.18;0.00;-0.33;0.00;
maestrale;N#17237;N#990;1;1;0.15;-0.18;0.00;-0.33;0.00;vento che spira da nord ovest  è uno dei venti predominanti del mediterraneo
orientare;V#32227;V#857;2;1;0.15;-0.18;0.00;-0.33;0.00;posizionare le vele  per un determinato vento e una determinata andatura  in modo che l azione del vento sulle vele sia massima
carenaggio;N#6761;N#718;1;1;-0.10;-0.18;0.25;-0.33;0.00;operazione con cui si mette in secco la carena per ripulire la carena o eseguire riparazioni
recapitare;V#40113;V#686;1;1;-0.10;-0.18;0.25;-0.33;0.00;
tenersi_a_galla;V#38151;V#1500;1;1;-0.10;-0.18;0.25;-0.33;0.00;
scalmo;N#30124;N#1418;2;2;0.14;-0.19;0.00;-0.33;0.00;supporto di legno o metallo a cui si appoggia il remo
bordo;N#28179;N#84;2;3;0.14;-0.19;0.00;-0.33;0.00;la nave stessa
nembostrato;N#30998;N#2542;1;1;0.05;-0.20;0.41;-0.66;0.00;nube densa di colore grigio scuro  sfrangiata ai bordi e molto estesa orizzontalmente  alta circa mille metri dal suolo  che può dare origine a precipitazioni pioggia o neve
carico;N#19634;N#2020;4;2;0.45;-0.21;0.00;-0.66;0.00;l atto del caricare
calma piatta;N#999;N#876;1;1;0.43;-0.23;0.00;-0.66;0.00;stato di calma del mare e del vento che rende impossibile la navigazione a vela
arcobaleno;N#27350;N#2552;1;1;0.00;-0.25;0.41;-0.66;0.00;fenomeno ottico visibile in cielo  specialmente dopo un temporale  consistente in una serie di archi concentrici nella gamma di colori dello spettro solare
caricare;V#32393;V#446;7;1;0.00;-0.25;0.41;-0.66;0.00;
virare;V#37570;V#2618;1;1;0.00;-0.26;0.07;-0.66;0.33;eseguire un mutamento di rotta
varo;N#27976;N#1669;1;1;0.14;-0.27;0.25;-0.66;0.00;l azione del varare una nave o altro tipo di imbarcazione
grandezza;N#14595;N#501;3;3;1.00;-0.31;1.00;-3.63;1.32;espressione quantitativa del rapporto fra grandezze omogenee
governale;N#12255;N#222;1;1;1.00;-0.32;0.00;-1.32;0.00;strumento delle imbarcazioni per mantenere la direzione durante il moto
codice;N#15778;N#110;4;1;1.00;-0.32;0.00;-1.32;0.00;raccolta organica di leggi che regolano un dato settore del diritto
poppa;N#14121;N#211;1;1;1.00;-0.32;0.00;-1.32;0.00;parte posteriore di imbarcazione
uscita;N#7416;N#269;6;1;1.00;-0.32;0.00;-1.32;0.00;somma spesa  denaro speso
bozzello;N#23542;N#879;1;1;0.31;-0.35;0.00;-0.66;0.00;carrucola semplice o multipla di forma e materiale differente costituita da una cassa all interno della quale girano girano una o più pulegge scanalate per ospitare il cavo che vi deve scorrere e da un gancio per fissare il bozzello
piano;N#7273;N#1562;8;1;0.29;-0.37;0.00;-0.66;0.00;disegno di una pianta o di una sezione dell imbarcazione
strambare;V#33737;V#587;1;1;0.29;-0.37;0.00;-0.66;0.00;manovrare per cambiare di bordo da poppa
consegnare;V#37277;V#684;2;1;0.26;-0.40;0.00;-0.66;0.00;dare a un destinatario
orza;N#16159;N#847;2;1;0.25;-0.41;0.00;-0.66;0.00;lato dell imbarcazione dal quale viene il vento  lato sopravvento
abbordaggio;N#16285;N#574;2;1;0.24;-0.42;0.00;-0.99;0.33;urto volontario o collisione accidentale tra imbarcazioni
riviera;N#947;N#46;1;1;0.57;-0.42;0.00;-0.99;0.00;la striscia di terra situata lungo il mare
schema;N#27266;N#2283;4;1;0.24;-0.42;0.00;-0.66;0.00;
ammainare;V#37814;V#584;1;1;0.24;-0.42;0.00;-0.66;0.00;far discendere una vela sospesa ad un cavo facendola scorrere
occhiello;N#9336;N#855;3;1;0.20;-0.46;0.00;-0.66;0.00;foro rinforzato posto su una vela
meteorologia;N#8736;N#988;1;1;0.85;-0.47;0.00;-1.32;0.00;scienza che studia l  atmosfera terrestre e i fenomeni che vi si manifestano
ancoraggio;N#2748;N#200;2;1;0.00;-0.50;0.16;-0.99;0.33;atto dell ormeggiare
spedire;V#39418;V#486;2;1;0.16;-0.50;0.00;-0.66;0.00;fare che qlco pervenga a qlcu o in un determinato luogo
andare;V#33626;V#2144;3;1;0.16;-0.50;0.00;-0.66;0.00;
moto;N#5453;N#1789;7;1;0.15;-0.51;0.00;-0.66;0.00;movimento delle acque
trasbordare;V#33062;V#653;1;1;-0.10;-0.51;0.25;-0.66;0.00;scaricare per poi reimbarcare
rada;N#12876;N#916;1;1;0.32;-0.59;0.41;-1.32;0.00;insenatura che offre un buon riparo  porto naturale
rotta;N#1660;N#217;3;2;1.00;-0.65;0.00;-1.65;0.00;tracciato che sulle carte indica il percorso seguito o da seguire
prora;N#19252;N#212;1;1;1.00;-0.65;0.00;-1.65;0.00;parte anteriore di un imbarcazione
tariffa;N#4807;N#272;2;1;1.00;-0.65;0.00;-1.65;0.00;prezzo stabilito per determinate merci o prestazioni
avvertimento;N#6775;N#81;1;1;1.00;-0.65;0.00;-1.65;0.00;l annunciare  l avvertire  l avvertire  informare  l annunciare
remare;V#39323;V#707;1;1;0.09;-0.65;0.25;-0.99;0.00;manovrare i remi o il remo di un imbarcazione immergendoli ritmicamente nell acqua in modo da far procedere l imbarcazione stessa
acqua;N#4950;N#75;1;1;0.55;-0.72;0.38;-1.65;0.00;liquido trasparente  incolore  inodore ed insapore
capitano;N#26086;N#507;5;1;0.23;-0.76;0.00;-0.99;0.00;comandante di una nave della marina mercantile
incrociare;V#41106;V#1630;1;1;0.21;-0.78;0.00;-0.99;0.00;"navigare in una zona con scopi di sorveglianza o ricerca
"
veleggiare;V#33561;V#148;1;1;0.50;-0.82;0.00;-1.32;0.00;navigare con un imbarcazione a vela
galea;N#20772;N#2697;1;1;0.16;-0.83;0.00;-0.99;0.00;dal greco galeas  pesce spada  nave da guerra e da commercio usata nel mediterraneo per oltre tremila anni  il suo uso declinò a partire dal xvii secolo  quando venne man mano soppiantata dai velieri  estinguendosi alla fine del xviii secolo
segnale;N#22956;N#1434;3;2;0.16;-0.83;0.00;-0.99;0.00;termine generico per indicare un tipo di comunicazione tra imbarcazioni o con la costa  tramite convenzioni e sistemi visivi  luminosi  acustici o radio
armare;V#39087;V#704;3;3;0.14;-0.85;0.00;-0.99;0.00;attrezzare un veliero in un determinato modo  per es a cutter  a goletta  a sloop
veliero;N#6410;N#163;1;1;1.00;-0.89;0.75;-3.96;1.32;bastimento a vela
impianto;N#16802;N#1619;3;1;1.00;-0.98;0.00;-1.98;0.00;una apparecchiatura  dispositivo  insieme di congegni
motore;N#4887;N#195;1;1;1.00;-0.98;0.00;-1.98;0.00;macchina atta a trasformare una determinata forma di energia in energia meccanica
diritto;N#15018;N#489;5;1;0.25;-1.07;0.00;-1.32;0.00;tassa  onere fisso riscosso in corrispettivo di un atto o di un servizio
marea;N#27207;N#192;1;1;0.62;-1.10;1.58;-3.63;0.33;movimento periodico delle acque del mare il cui livello si alza e si abbassa a fasi alterne quattro volte al giorno il fenomeno è dato dalla combinazione delle forze di attrazione del sole e della luna combinate con il moto di rotazione della terra 
armare;V#39799;V#703;4;2;0.18;-1.14;0.00;-1.32;0.00;mettere una qualunque attrezzatura  della nave eo imbarcazione in condizione di svolgere la propria funzione
elica;N#13871;N#116;1;1;0.83;-1.15;0.00;-1.98;0.00;organo meccanico che genera una spinta con la sua rotazione nell aria o nell acqua
classe;N#7215;N#299;5;1;0.14;-1.18;0.00;-1.32;0.00;gruppo di imbarcazioni che possiedono le stesse caratteristiche
angolo;N#14182;N#622;1;1;1.00;-1.26;0.38;-2.64;0.00;geom lo spazio tra due linee o piani che si intersecano
nolo;N#9199;N#8;2;1;0.37;-1.28;0.00;-1.65;0.00;corrispettivo da pagarsi per il noleggio totale o parziale di una imbarcazione o nave  e per un trasporto marittimo di qualsiasi tipo
partecipazione;N#13589;N#1447;1;4;0.58;-1.40;0.00;-1.98;0.00;l atto di comunicare  partecipare  l atto del comunicare
luogo;N#10671;N#205;1;1;0.52;-1.48;2.95;-6.60;1.65;parte dello spazio occupata o occupabile materialmente o idealmente
numero;N#17387;N#1854;4;1;0.16;-1.49;0.00;-1.65;0.00;insieme di cifre che possono identificare una barca  un coefficiente  ecc
bacino;N#21992;N#794;4;2;0.13;-1.52;0.00;-1.65;0.00;spazio portuale delimitato da paratie stagne dove è possibile mettere in secca le navi
battello;N#28136;N#367;1;1;0.13;-1.71;0.14;-2.31;0.33;piccola imbarcazione a remi o a motore adibita a vari usi specifici
navigare;V#38256;V#38;2;1;0.42;-1.73;0.82;-3.30;0.33;effettuare un percorso  un viaggio per mare  su un corso o uno specchio d acqua  es una nave che naviga per il mediterraneo  navigare sul nilo 
area;N#264;N#1998;1;1;0.15;-1.73;0.43;-2.64;0.33;superficie  spazio delimitato
corrente;N#487;N#111;2;1;0.91;-1.73;0.00;-2.64;0.00;massa d acqua che si muove in una certa direzione
corda;N#12147;N#108;1;1;1.00;-1.78;3.82;-8.58;1.98;prodotto flessibile per legare e assicurare
acque;N#12663;N#119;1;1;1.00;-1.87;0.76;-3.96;0.33;il complesso delle acque salate che coprono gran parte della superficie terrestre
linea;N#10008;N#2285;9;1;0.41;-1.90;0.00;-2.31;0.00;"servizio che garantisce il trasporto di passeggeri e merci fra due o più località linee aeree  ferroviarie  marittime  l itinerario effettuato da un mezzo di comunicazione  tratta compresa fra due località la linea livornocagliari
"
fondale;N#12756;N#187;3;2;1.00;-1.97;0.00;-2.97;0.00;il fondo del mare
materiale;N#30449;N#1645;1;2;0.05;-2.16;0.76;-3.30;0.33;materia  sostanza necessaria per un certo lavoro o per certe attrezzature
manovrare;V#32467;V#331;1;1;0.09;-2.68;1.52;-5.28;0.99;fare manovra  dirigere o modificare il movimento di una nave o di una imbarcazione
barca;N#12151;N#1;1;1;0.41;-2.74;1.47;-5.28;0.66;imbarcazione di piccole dimensioni  a remi  a vela  o a motore aperta o parzialmente pontata
aria;N#5084;N#224;5;5;1.00;-3.44;1.17;-5.94;0.33;spostamento di masse d aria atmosferiche dovuto a differenza di temperatura o di pressione  spostamento di masse d aria atmosferiche causato da differenze di temperatura o di pressione
bandiera;N#26277;N#98;2;1;0.22;-4.40;0.00;-4.62;0.00;drappo di stoffa leggera attaccata all asta o all albero di una nave
annodatura;N#9235;N#389;1;1;0.82;-7.76;0.00;-8.58;0.00;legamento di due estremità di funi  cavi e sim
