Literal Lemma;IWN ID;MariTerm ID;IWN sense;MariT sense;Gloss S. (WM);Total S.;T. Relation S.;Malus;Bonus;MariTerm Gloss
fine;N#2186;N#2619;4;4;1.00;1.08;0.41;-0.33;0.00;l esito  la fine di qualcosa  condizione derivante da un fatto precedente
incrociatore;N#49585;N#552;1;1;1.00;1.08;0.41;-0.33;0.00;nave militare
lanciamissili;N#49590;N#560;1;1;1.00;1.08;0.41;-0.33;0.00;nave militare
posamine;N#3900;N#562;1;1;1.00;1.08;0.41;-0.33;0.00;nave da guerra attrezzata per collocare mine in mare
sommergibile;N#13449;N#566;1;1;1.00;1.08;0.41;-0.33;0.00;nave militare  destinata a navigare sott acqua
traghetto misto;N#49668;N#548;1;1;1.00;1.08;0.41;-0.33;0.00;traghetto misto mercipasseggeri
bettolina;N#12403;N#382;1;1;1.00;1.08;0.41;-0.33;0.00;galleggiante di ampie dimensioni
corazzata;N#17300;N#557;1;1;1.00;1.08;0.41;-0.33;0.00;grande nave da battaglia
corvetta;N#17368;N#558;1;1;1.00;1.08;0.41;-0.33;0.00;nave militare  attualmente non superiore alle 1000 tonnellate  per scorta ai convogli e caccia ai sommergibili
posareti;N#15750;N#563;1;1;1.00;1.08;0.41;-0.33;0.00;nave militare adibita al trasporto e alla posa di ostruzioni  spec reti  a difesa di forze navali
rimorchiatore oceanico;N#49670;N#549;1;1;1.00;1.08;0.41;-0.33;0.00;rimorchiatore che fa la spola con la piattaforma petrolifera
serrafila;N#13321;N#565;2;2;1.00;1.08;0.41;-0.33;0.00;nave militare che viene per ultima in una formazione che va alla stessa velocità
vedetta;N#1542;N#570;1;1;1.00;1.08;0.41;-0.33;0.00;nave militare piccola velocissima per la caccia ai sommergibili e la vigilanza costiera
temperatura;N#15020;N#2508;1;1;0.03;1.08;0.72;0.00;0.33;
straorzare;V#37647;V#330;1;1;1.00;1.07;0.07;-0.33;0.33;condurre la prua della nave oltre l orza
rugiada;N#5567;N#2545;1;1;0.24;1.06;0.82;-0.33;0.33;precipitazione atmosferica formata da minuscole gocce d acqua in seguito alla condensazione del vapore acqueo dell aria a contatto con superfici che presentano temperature superiori a 0° c
girare;V#38939;V#1976;2;3;0.16;1.05;0.23;0.00;0.66;far girare
eliminatoria;N#6451;N#2099;1;1;-0.10;1.05;0.82;0.00;0.33;
passascotte;N#22909;N#1542;1;1;-0.10;1.05;0.82;0.00;0.33;
pesce_angelo;N#30544;N#2035;1;1;-0.10;1.05;0.82;0.00;0.33;
rinfuse;N#49683;N#1974;1;1;-0.10;1.05;0.82;0.00;0.33;
racer;N#29754;N#915;1;1;0.20;1.02;0.82;-0.33;0.33;termine inglese che designa una imbarcazione da competizione  sia a vela che a motore
andatura;N#49633;N#76;2;1;1.00;1.01;1.66;-2.64;0.99;modo di navigare di una imbarcazione a vela
comandante;N#10644;N#107;1;1;0.18;1.00;0.82;-0.33;0.33;ufficiale di qualsiasi grado che ha il comando di una nave  nella marina civile  è colui che ha la responsabilità giuridica della nave 
longitudine;N#958;N#1360;1;1;1.00;1.00;0.00;0.00;0.00;distanza di un luogo dal meridiano fondamentale  misurata in gradi
Morse;NP#49517;NP#290;1;1;1.00;1.00;0.00;0.00;0.00;inventore statunitense 17911872  dalle scoperte di ampère trasse spunto per l invenzione del telegrafo elettrico
rotta;N#1658;N#216;1;1;1.00;1.00;0.00;0.00;0.00;percorso di una nave o di un mezzo aereo
urbe;N#21386;N#2672;1;1;1.00;1.00;0.00;0.00;0.00;un centro abitato di dimensioni variabili dal medio al grande
vendere;V#36790;V#939;1;1;1.00;1.00;0.00;0.00;0.00;cedere ad altri qc ricevendone il prezzo  commerciare anche assol
anemometro;N#19010;N#77;1;1;1.00;1.00;0.00;0.00;0.00;strumento per misurare la velocità del vento
bruciato;AG#50589;AG#2122;1;1;1.00;1.00;0.00;0.00;0.00;detto della pelle troppo esposta al sole
meteoropatia;N#28723;N#2577;1;1;1.00;1.00;0.00;0.00;0.00;complesso di disturbi legati a particolari condizioni atmosferiche
scia;N#11784;N#1424;1;2;1.00;1.00;0.00;0.00;0.00;solco lasciato da un galleggiante in moto
Sebastiano_Caboto;NP#46136;NP#1252;1;1;1.00;1.00;0.00;0.00;0.00;navigatore venezia 1476londra 1557 figlio di giovanni
Argo;NP#45526;NP#96;3;5;1.00;1.00;0.00;0.00;0.00;nome della nave di giasone
armatore;N#22789;N#79;1;1;1.00;1.00;0.00;0.00;0.00;la persona o la compagnia che arma una nave per usarla per viaggi o traffici mercantili  non necessariamente è il proprietario della nave
coltellaccio;N#23333;N#665;2;2;1.00;1.00;0.00;0.00;0.00;tipo di vela a forma di trapezio
consegnatario;N#24521;N#242;1;1;1.00;1.00;0.00;0.00;0.00;chi ha in consegna qualcosa
consumatore;N#27054;N#602;2;2;1.00;1.00;0.00;0.00;0.00;chi acquista e consuma i prodotti dell industria per i propri fabbisogni
cotto;AG#50588;AG#2121;1;1;1.00;1.00;0.00;0.00;0.00;sottoposto a cottura
decreto;N#11407;N#2057;2;2;1.00;1.00;0.00;0.00;0.00;atto del governo che stabilisce nuove norme amministrative
deriva;N#30309;N#115;1;1;1.00;1.00;0.00;0.00;0.00;spostamento operato da una massa liquida in movimento
gas;N#24743;N#2076;1;1;1.00;1.00;0.00;0.00;0.00;sostanza aeriforme
germogliare;V#35061;V#2117;2;2;1.00;1.00;0.00;0.00;0.00;emettere getti o germogli
