Literal Lemma;MariTerm ID;Total Similarity;Normalized Score;Multiple Entries in ItalWN;MariTerm Gloss
partenza;N#2286;-0.66;0.00;No (1);il momento in cui un veicolo  spec. un mezzo di trasporto collettivo  si mette in movimento: la partenza della navetta.
percorso;N#2727;-0.66;0.00;No (1);tratto di strada che si compie  per mare o per terra.
perturbazione;N#2504;-0.66;0.00;No (1);variazione (legata allo spostamento e all'evoluzione delle aree cicloniche) delle condizione meteorologiche in una determinata area geografica  spesso accompagnata da rilevanti fenomeni (annuvolamenti  piogge e temporali)
pontone;N#378;-0.66;0.00;No (1);grosso e robusto galleggiante a fondo piatto usato un tempo per traghettare i passeggeri e oggi per trasporto di grossi pesi.
premio;N#2128;-0.66;0.00;No (1);dono o riconoscimento elargito per una vittoria o un piazzamento in una competizione.
rinforzare;V#1783;-0.66;0.00;No (1);aumentare il numero o la grossezza.
scaricare;V#448;-0.66;0.00;No (1);
schema;N#2283;-0.66;0.00;No (1);
sponda;N#1996;-0.66;0.00;No (1);striscia di terra che costeggia le acque di un mare  lago o fiume.
stabilità;N#1743;-0.66;0.00;No (1);requisito indispensabile  che deve possedere una nave o imbarcazione  di poter tornare immediatamente nella posizione di equilibrio dopo una inclinazione.
stazione;N#270;-0.66;0.00;No (1);complesso di edifici e di impianti in cui si svolgono tutte le operazioni relative al movimento di merci e passeggeri.
strato;N#1529;-0.66;0.00;No (1);tipo di nuvola.
unire;V#2641;-0.66;0.00;No (1);mettere insieme  fare che due o più cose diventino o appaiano una sola  avvicinandole o collegandole.
vernice;N#1686;-0.66;0.00;No (1);pittura protettiva normalmente sintetica.
barcone;N#60;-0.85;0.00;No (1);grossa imbarcazione per il trasporto delle merci. 
abbordaggio;N#574;-0.99;0.00;No (1);urto volontario o collisione accidentale tra imbarcazioni
abbordare;V#338;-0.99;0.00;No (1);investire bordo contro bordo  di punta  per fianco.
armare;V#704;-0.99;0.00;No (1);attrezzare un veliero in un determinato modo  per es. a cutter  a goletta  a sloop.
attrezzare;V#925;-0.99;0.00;No (1);porre sulla coperta delle imbarcazioni cavi  cime accessorie e simili.
bacino;N#714;-0.99;0.00;No (1);spazio portuale  specchio d'acqua marina delimitato da moli o banchine.
brezza;N#105;-0.99;0.00;No (1);vento tipico delle coste che spira mattina e sera in direzioni opposte
brigantino;N#886;-0.99;0.00;No (1);veliero con due alberi a vele quadre e bompresso.
cassa;N#596;-0.99;0.00;No (1);recipiente  a forma di parallelepipedo  provvisto di coperchio.
consegna;N#243;-0.99;0.00;No (1);atto del consegnare.
gala;N#1825;-0.99;0.00;No (1);festone con bandiere nazionali e da segnali teso fra la prua la alberatura e la poppa in segno di festa o per onorare una nave straniera.
galea;N#2697;-0.99;0.00;No (1);dal greco galeas  pesce spada  nave da guerra e da commercio usata nel Mediterraneo per oltre tremila anni  il suo uso declinò a partire dal XVII secolo  quando venne man mano soppiantata dai velieri  estinguendosi alla fine del XVIII secolo.
faro;N#185;-0.99;0.00;No (1);"il faro del porto  il termine ""faro"" deriva dall'isola di Pharos  dove fu eretto nel 300 a.c. il primo e più celebre fanale dell'antichità  a segnalare l'entrata al porto di Alessandria d'Egitto."
manovra;N#190;-0.99;0.00;No (1);designa in modo generico qualunque cima o cavo in acciaio sull'alberatura  destinato ad una precisa funzione  ma non le cime o i cavi stivati.
muoversi;V#2573;-0.99;0.00;No (1);muoversi  cambiare la posizione in uno spazio.
organizzazione;N#2353;-0.99;0.00;No (1);complesso  gruppo organizzato
radio;N#1736;-0.99;0.00;No (1);termine generico per indicare le apparecchiature di ricezione o rice-trasmissione radiofonica.
rilevamento;N#1779;-0.99;0.00;No (1);angolo orizzontale compreso fra una direzione fissa di riferimento e la visuale diretta a un oggetto  misurato secondo il senso orario.
riviera;N#46;-0.99;0.00;No (1);la striscia di terra situata lungo il mare.
scala;N#2081;-0.99;0.00;No (1);"nel linguaggio scientifico e tecnico  successione di valori convenzionali che misurano l'intensità di un fenomeno.
"
sciogliere;V#1264;-0.99;0.00;No (1);
