Literal Lemma;MariTerm ID;Total Similarity;Normalized Score;Multiple Entries in ItalWN;MariTerm Gloss
Alborg;NP#1014;0.00;0.00;No (1);
Algeri;NP#1015;0.00;0.00;No (1);
Alicante;NP#1016;0.00;0.00;No (1);
allestimento;N#957;0.00;0.00;No (1);
allineamento;N#845;0.00;0.00;No (1);linea che congiunge due punti fissi in mare o sulla costa  utilizzati per dare alle imbarcazioni percorsi sicuri  ad esempio per entrare in un ancoraggio o in un canale.
Amalfi;NP#2360;0.00;0.00;No (1);
Amburgo;NP#1202;0.00;0.00;No (1);
Americhe;NP#2629;0.00;0.00;No (1);
Amsterdam;NP#2418;0.00;0.00;No (1);
Anchorage;NP#1017;0.00;0.00;No (1);
Ancona;NP#2361;0.00;0.00;No (1);
anemometro;N#77;0.00;0.00;No (1);Strumento per misurare la velocità del vento.
Annaba;NP#1018;0.00;0.00;No (1);
Anversa;NP#2336;0.00;0.00;No (1);
Aqaba;NP#1019;0.00;0.00;No (1);
arare;V#864;0.00;0.00;No (1);si dice dell'ancora quando non sta ben aggrappata al fondo
Arbatax;NP#1020;0.00;0.00;No (1);
Argo;NP#96;0.00;0.00;No (1);nome della nave di Giasone
Arhus;NP#1021;0.00;0.00;No (1);
armatore;N#79;0.00;0.00;No (1);la persona o la compagnia che arma una nave per usarla per viaggi o traffici mercantili  non necessariamente è il proprietario della nave.
arruolare;V#813;0.00;0.00;No (1);assumere chi è iscritto nelle matricole della gente di mare  perché faccia parte dell'equipaggio.
Arzew;NP#1022;0.00;0.00;No (1);
Asia;NP#2630;0.00;0.00;No (1);
Assab;NP#1023;0.00;0.00;No (1);
Astoria;NP#1024;0.00;0.00;No (1);
Atlantico;NP#2015;0.00;0.00;No (1);
atollo;N#2665;0.00;0.00;No (1);isola composta da una particolare formazione di terra emersa e lagune.
Australia;NP#2631;0.00;0.00;No (1);
autorità;N#761;0.00;0.00;No (1);persona o ente investito di una carica pubblica o di potere legittimo.
avvistare;V#621;0.00;0.00;No (1);scorgere qualcosa da lontano in mare.
Baltimora;NP#1025;0.00;0.00;No (1);
Banjul;NP#1026;0.00;0.00;No (1);
Barcellona;NP#2152;0.00;0.00;No (1);
Bari;NP#2363;0.00;0.00;No (1);
Barranquilla;NP#1027;0.00;0.00;No (1);
Barry;NP#1028;0.00;0.00;No (1);
Bassora;NP#1029;0.00;0.00;No (1);
Bastia;NP#1030;0.00;0.00;No (1);
Baton_Rouge;NP#1031;0.00;0.00;No (1);
battagliola;N#980;0.00;0.00;No (1);ringhiera metallica che si eleva al di sopra dei fianchi della nave per proteggere persone o carico.
battente;N#1798;0.00;0.00;No (1);lato libero della bandiera.
Bayonne;NP#1032;0.00;0.00;No (1);
Belfast;NP#1033;0.00;0.00;No (1);
Belgrado;NP#2491;0.00;0.00;No (1);
bengala;N#983;0.00;0.00;No (1);razzo utilizzato per segnalare emergenze o per illuminare dall'alto.
Bergen;NP#1034;0.00;0.00;No (1);
Bilbao;NP#2425;0.00;0.00;No (1);
boccaporto;N#851;0.00;0.00;No (1);apertura praticata nella coperta delle imbarcazioni e delle navi per il passaggio delle persone o delle merci tra i diversi livelli di ponte.
Boma;NP#1037;0.00;0.00;No (1);
Bordeaux;NP#1038;0.00;0.00;No (1);
Boston;NP#2164;0.00;0.00;No (1);
Boulogne;NP#1039;0.00;0.00;No (1);
Brema;NP#1040;0.00;0.00;No (1);
Brest;NP#1041;0.00;0.00;No (1);
Bridgetown;NP#1036;0.00;0.00;No (1);
Brindisi;NP#2445;0.00;0.00;No (1);
bugliolo;N#891;0.00;0.00;No (1);nome marinaro per recipienti a forma di secchio.
Cadice;NP#1042;0.00;0.00;No (1);
Cagliari;NP#2259;0.00;0.00;No (1);
Calais;NP#1043;0.00;0.00;No (1);
campionare;V#595;0.00;0.00;No (1);
capo;N#1091;0.00;0.00;No (1);"promontorio o sporgenza della costa  normalmente alto sul mare.
"
Capo_Carbonara;NP#2586;0.00;0.00;No (1);
Capo_Rizzuto;NP#2587;0.00;0.00;No (1);
cappellano;N#807;0.00;0.00;No (1);
Capraia;NP#2260;0.00;0.00;No (1);
Capri;NP#2364;0.00;0.00;No (1);
Cardiff;NP#2463;0.00;0.00;No (1);
carenaggio;N#718;0.00;0.00;No (1);operazione con cui si mette in secco la carena per ripulire la carena o eseguire riparazioni.
Carrara;NP#2446;0.00;0.00;No (1);
carrello;N#1331;0.00;0.00;No (1);sistema scorrevole su una rotaia che porta uno o più bozzelli nei quali scorrono le scotte che regolano le diverse vele.
Cartagena;NP#1044;0.00;0.00;No (1);
carteggiare;V#780;0.00;0.00;No (1);tracciare e seguire una rotta sulle carte nautiche.
carteggio;N#779;0.00;0.00;No (1);procedimento per tracciare e seguire una rotta sulle carte nautiche .
Caspio;NP#2052;0.00;0.00;No (1);
Catania;NP#2367;0.00;0.00;No (1);
cavitazione;N#1183;0.00;0.00;No (1);"Effetto turbolento dell'elica causato da una velocità di rotazione troppo elevata  che determina un decadimento della spinta.
"
centinatura;N#1336;0.00;0.00;No (1);curvatura trasversale della ordinata.
Cherbourg;NP#1045;0.00;0.00;No (1);
Chioggia;NP#2447;0.00;0.00;No (1);
Cinque_Terre;NP#2588;0.00;0.00;No (1);
Civitavecchia;NP#2368;0.00;0.00;No (1);
classificazione;N#1338;0.00;0.00;No (1);indica la tipologia ed il grado di bontà e di affidabilità  per le navi e talvolta anche per imbarcazioni da diporto di considerevole dimensione e pregio. . E' determinato da funzionari del registro navale (in Italia il RINA). 
collo;N#1350;0.00;0.00;No (1);"Giro completo di una cima attorno ad un punto fisso  normalmente una bitta  per bloccarla.
"
coltellaccio;N#665;0.00;0.00;No (1);tipo di vela a forma di trapezio
committente;N#599;0.00;0.00;No (1);chi attraverso un commissionario fa acquisti o vendite di merci o di titoli
comperare;V#940;0.00;0.00;No (1);ottenere in proprietà dando del denaro.
consegnatario;N#242;0.00;0.00;No (1);chi ha in consegna qualcosa.
consumatore;N#602;0.00;0.00;No (1);chi acquista e consuma i prodotti dell'industria per i propri fabbisogni.
contagiri;N#1355;0.00;0.00;No (1);"Strumento  meccanico od elettronico  per la misurazione del numero di rivoluzioni dell'albero motore (giri del motore). 
"
contraliseo;N#841;0.00;0.00;No (1);vento di direzione opposta all'aliseo.
Copenhagen;NP#1046;0.00;0.00;No (1);
Corinto;NP#2171;0.00;0.00;No (1);
Cork;NP#1047;0.00;0.00;No (1);
coronamento;N#1363;0.00;0.00;No (1);"bordo superiore o ringhiera (battagliola) di poppa dell'imbarcazione.
"
Cristoforo_Colombo;NP#1249;0.00;0.00;No (1);navigatore (Genova 1451-Valladolid 1506)
crocetta;N#1367;0.00;0.00;No (1);"barra fissata perpendicolamente all'albero  a diverse altezze  nel senso trasversale dell'imbarcazione  all'estremità della quale passano le sartie laterali che sostengono
l'albero stesso. 
"
Crotone;NP#2369;0.00;0.00;No (1);
cubia;N#854;0.00;0.00;No (1);foro praticato nello scafo che permette il passaggio della catena dell'ancora. Nelle navi si trovano lateralmente da due a quattro cubie.
Dakar;NP#1049;0.00;0.00;No (1);
decreto;N#2057;0.00;0.00;No (1);atto del governo che stabilisce nuove norme amministrative.
dente di cane;N#1374;0.00;0.00;No (1);"incrostazione calcarea che si forma sulla carena delle imbarcazioni ad opera di un organismo marino.
"
deriva;N#115;0.00;0.00;No (1);spostamento operato da una massa liquida in movimento
disalberare;V#1437;0.00;0.00;No (1);"smontare gli alberi di un veliero per manutenzione. Si dice anche nel caso in cui l'alberatura venga spezzata dal vento o da avarie di diversa natura. 
"
disarmare;V#773;0.00;0.00;No (1);"opposto di ""armare""  significa sbarcare tutte le attrezzature e porre l'imbarcazione in disarmo  cioè in demolizione."
disarmo;N#781;0.00;0.00;No (1);stato in cui si trova un'imbarcazione quando è priva degli strumenti necessari alla navigazione o  più specificatamente  al combattimento.
disincagliare;V#1439;0.00;0.00;No (1);"liberare una imbarcazione la cui chiglia si è posata o incastrata in una secca o su un bassofondo. 
"
Doha;NP#1050;0.00;0.00;No (1);
Dordrecht;NP#1051;0.00;0.00;No (1);
Dover;NP#1053;0.00;0.00;No (1);
Drammen;NP#1054;0.00;0.00;No (1);
Dubai;NP#1131;0.00;0.00;No (1);
Dublino;NP#2417;0.00;0.00;No (1);
Dundee;NP#1138;0.00;0.00;No (1);porto della Scozia.
Dunkerque;NP#1139;0.00;0.00;No (1);
Durazzo;NP#1140;0.00;0.00;No (1);
Durban;NP#1141;0.00;0.00;No (1);
Eleusi;NP#1142;0.00;0.00;No (1);
eliografo;N#2554;0.00;0.00;No (1);strumento per la misura dell'eliofania.
Emden;NP#1143;0.00;0.00;No (1);
estintore;N#1466;0.00;0.00;No (1);"recipiente metallico che contiene gas  polvere o schiuma sotto pressione atta a spegnere il fuoco. 
"
Europa;NP#2632;0.00;0.00;No (1);
falla;N#183;0.00;0.00;No (1);apertura nella carena di una imbarcazione  causata da un incidente  dalla quale entra acqua di mare nello scafo.
Felixstowe;NP#1144;0.00;0.00;No (1);
fermare;V#651;0.00;0.00;No (1);fissare in anticipo (una camera in albergo  un posto a teatro  ecc.).
Ferrol;NP#1145;0.00;0.00;No (1);
fiera;N#2080;0.00;0.00;No (1);grande mostra mercato nazionale o internazionale che si tiene periodicamente in una determinata località e che riguarda tutti o solo alcuni settori produttivi.
Filadelfia;NP#2163;0.00;0.00;No (1);
fiume;N#1481;0.00;0.00;No (1);corso d'acqua dolce di consistente dimensione spesso navigabile.
Fiume;NP#2340;0.00;0.00;No (1);
Fiumicino;NP#2371;0.00;0.00;No (1);
Fleetwood;NP#1146;0.00;0.00;No (1);
Formia;NP#2372;0.00;0.00;No (1);
forza;N#1988;0.00;0.00;No (1);intensità del vento espressa secondo i gradi della scala Beaufort  lo stato del mare considerato in relazione al vento ed espresso con i gradi della stessa scala.
Fredericia;NP#1147;0.00;0.00;No (1);
Frederikshavn;NP#1148;0.00;0.00;No (1);
Freetown;NP#1149;0.00;0.00;No (1);
Freja;NP#1048;0.00;0.00;No (1);
galleggiamento;N#1501;0.00;0.00;No (1);lo stare a galla.
Gand;NP#1150;0.00;0.00;No (1);
gas;N#2076;0.00;0.00;No (1);sostanza aeriforme
gasolio;N#2077;0.00;0.00;No (1);liquido
Genova;NP#2373;0.00;0.00;No (1);
germogliare;V#2117;0.00;0.00;No (1);emettere getti o germogli.
gettare;V#2115;0.00;0.00;No (1);allontanare  mandare al macero  roba rotta  vecchia  inservibile.
gettare;V#2116;0.00;0.00;No (1);versare  far colare in uno stampo materiale fuso.
gettare;V#2118;0.00;0.00;No (1);causare un cambiamento negativo  mettere in una condizione peggiore .
Gibuti;NP#1152;0.00;0.00;No (1);
Gioia_Tauro;NP#2374;0.00;0.00;No (1);
Giovanni_Caboto;NP#1250;0.00;0.00;No (1);navigatore (1420-1498) nato forse a Genova
Giovanni_da_Verrazzano;NP#1251;0.00;0.00;No (1);navigatore (Firenze 1485-1528)
Glasgow;NP#1154;0.00;0.00;No (1);
Golfo_Arabico;NP#1198;0.00;0.00;No (1);
Goole;NP#1155;0.00;0.00;No (1);
Goteborg;NP#2428;0.00;0.00;No (1);
Grangemouth;NP#1156;0.00;0.00;No (1);
Great_Yarmouth;NP#1157;0.00;0.00;No (1);
Greenock;NP#1158;0.00;0.00;No (1);
grillo;N#1531;0.00;0.00;No (1);maniglione a forma di U  si usa come parte terminale dei cavi d'acciaio che ad esso sono fissati con un occhio piombato ed una redancia.
pozza;N#2621;0.00;0.00;No (1);quantità di liquido versato in terra.
Halmstad;NP#1159;0.00;0.00;No (1);
Haugesund;NP#1160;0.00;0.00;No (1);
Helsinki;NP#2344;0.00;0.00;No (1);
Honolulu;NP#1161;0.00;0.00;No (1);
Hudson;NP#1313;0.00;0.00;No (1);navigatore  imbarcatosi per conto degli Olandesi  esplorò le coste del nord del Canada (?-1611?).
Hull;NP#1162;0.00;0.00;No (1);
Ibiza;NP#1132;0.00;0.00;No (1);
idrodinamica;N#1564;0.00;0.00;No (1);branca della fisica che studia il moto dell'acqua e l'effetto prodotto dal movimento dei corpi immersi.
idrografia;N#1565;0.00;0.00;No (1);"scienza del rilevamento e della rappresentazione grafica  su carte ad uso dei naviganti  delle coste  dei mari e delle acque interne.
"
idroscalo;N#1567;0.00;0.00;No (1);"spazio in mare (o in acque interne) adibito al decollo e atterraggio di idrovolanti. 
"
idrostatica;N#1569;0.00;0.00;No (1);"branca della fisica che studia il comportamento dei corpi immersi e le relative caratteristiche di galleggiabilità.
"
idrovolante;N#1571;0.00;0.00;No (1);"velivolo a fondo piatto  spesso dotato di scarponi galleggianti laterali  adatto all'atterraggio e decollo in mare. 
"
igrometro;N#1572;0.00;0.00;No (1);"strumento misuratore dell'umidità relativa dell'aria  tarato da 0 a 100%. 
"
imballo;N#258;0.00;0.00;No (1);l'involucro usato per imballare
imbarcare;V#616;0.00;0.00;No (1);caricare o prendere a bordo di una nave o di un'imbarcazione in genere cose persone animali.
imbarcarsi;V#55;0.00;0.00;No (1);salire a bordo.
imbarcatoio;N#57;0.00;0.00;No (1);sovrastruttura della banchina che facilita le operazioni di imbarco e sbarco dei passeggeri.
imbarco;N#615;0.00;0.00;No (1);azione dell'imbarcare.
imbracare;V#1585;0.00;0.00;No (1);legare un oggetto con cavi  catene o reti per alzarlo con una gru. 
immergersi;V#1602;0.00;0.00;No (1);"Dicesa sott'acqua in apnea o con autorespiratore  effettuata per lavoro sottomarino o per effettuare controlli. 
"
Immingham;NP#1163;0.00;0.00;No (1);
impedimento;N#2125;0.00;0.00;No (1);impedimento non fisico 
impiombatura;N#1609;0.00;0.00;No (1);"sistema tradizionale per unire le estremità di due cime in tessile  intrecciando i legnuoli della cime per una lunghezza ampia in modo da garantire una perfetta tenuta. 
"
import;N#2183;0.00;0.00;No (1);l'importare.
incagliarsi;V#1440;0.00;0.00;No (1);si dice quando un'imbarcazione rimane bloccata su una secca o un bassofondo sabbioso.
inclinazione;N#633;0.00;0.00;No (1);posizione di un corpo quando forma un angolo rispetto a un piano di riferimento
incocciare;V#1627;0.00;0.00;No (1);"sinonimo marinaresco di agganciare  cioè inserire un gancio o un grillo in un anello o in un occhio di una cima. 
"
incrocio;N#1629;0.00;0.00;No (1);"indica l'avvicinamento di due velieri che navigano con ""mure opposte"" e su rotte convergenti o quasi.
"
indicatore;N#1614;0.00;0.00;No (1);Strumento o pannello che riporta o ripete una misura (velocità  profondità  pressione  etc.).
infrastruttura;N#2011;0.00;0.00;No (1);insieme degli impianti e delle installazioni che permettono l'espletamento di un servizio.
ingaggio;N#1631;0.00;0.00;No (1);si  dice quando  in una regata velica  una imbarcazione raggiunge una seconda e ne supera la poppa con la sua prua.
intermediatore;N#263;0.00;0.00;No (1);chi fa da tramite tra due o più persone
invasatura;N#1632;0.00;0.00;No (1);insieme di strutture che sostiene la nave prima e durante il varo.
Ionio;NP#1964;0.00;0.00;No (1);
Ipswich;NP#1164;0.00;0.00;No (1);
isobara;N#1607;0.00;0.00;No (1);curva che  sulle carte metero  unisce i punti di uguale pressione atmosferica. 
Isole_Ciclopi;NP#2589;0.00;0.00;No (1);
Isole_Egadi;NP#2601;0.00;0.00;No (1);
Isole_Tremiti;NP#2591;0.00;0.00;No (1);
isoterma;N#1605;0.00;0.00;No (1);"Curva che  su particolari carte  unisce i punti di uguale temperatura rilevata o prevista. 
"
Istanbul;NP#1165;0.00;0.00;No (1);
istmo;N#1604;0.00;0.00;No (1);striscia di terra che unisce due continenti o una penisola a un continente e separa due mari.
Kalmar;NP#1166;0.00;0.00;No (1);
Karlstad;NP#1167;0.00;0.00;No (1);
Kiel;NP#2455;0.00;0.00;No (1);
Spezia;NP#2377;0.00;0.00;No (1);
La_Valletta;NP#1169;0.00;0.00;No (1);
lago;N#2620;0.00;0.00;No (1);massa d'acqua circondata dalla terra
landa;N#1635;0.00;0.00;No (1);"piastra di acciaio alla quale si fissa il capo inferiore del sartiame che sostiene l'albero (laterale  a prua e a poppa). 
"
larghezza;N#1636;0.00;0.00;No (1);"distanza tra i due punti estremi della ""sezione maestra"" cioè della parte più larga della coperta  includendo il fasciame. 
"
Larne;NP#1170;0.00;0.00;No (1);
Las_Palmas;NP#1171;0.00;0.00;No (1);
lasco;AG#1637;0.00;0.00;No (1);dicesi di una cima  di una manovra o di una vela allentata.
Le_Havre;NP#1172;0.00;0.00;No (1);
Leith;NP#1173;0.00;0.00;No (1);
Limerick;NP#1188;0.00;0.00;No (1);
Lisbona;NP#660;0.00;0.00;No (1);
listino;N#261;0.00;0.00;No (1);elenco dei prezzi
Liverpool;NP#1189;0.00;0.00;No (1);
Livorno;NP#121;0.00;0.00;No (1);
Londonderry;NP#1190;0.00;0.00;No (1);
Londra;NP#2421;0.00;0.00;No (1);
longitudine;N#1360;0.00;0.00;No (1);distanza di un luogo dal meridiano fondamentale  misurata in gradi
Lowestoft;NP#1191;0.00;0.00;No (1);
Lubecca;NP#1192;0.00;0.00;No (1);
Luderitz;NP#1193;0.00;0.00;No (1);
madiere;N#1342;0.00;0.00;No (1);"zona inferiore della costola (parte del quinto o ordinata) dello scafo  che si incastra nella chiglia.
"
Madras;NP#1194;0.00;0.00;No (1);
mal_di_mare;N#1408;0.00;0.00;No (1);mal di mare
Malaga;NP#1195;0.00;0.00;No (1);
Malmoe;NP#1196;0.00;0.00;No (1);
Manchester;NP#2422;0.00;0.00;No (1);
Maputo;NP#1206;0.00;0.00;No (1);
Mar dei Caraibi;NP#2053;0.00;0.00;No (1);
Mar dei Sargassi;NP#2056;0.00;0.00;No (1);
Mar_Cinese_Meridionale;NP#2060;0.00;0.00;No (1);
Mar_Cinese_Orientale;NP#2061;0.00;0.00;No (1);
Mar_dei_Coralli;NP#2062;0.00;0.00;No (1);
Mar_del_Giappone;NP#2063;0.00;0.00;No (1);
Mar_del_Nord;NP#2064;0.00;0.00;No (1);
Mar_di_Sardegna;NP#2065;0.00;0.00;No (1);
Mar_Eussino;NP#2066;0.00;0.00;No (1);
Mar_Giallo;NP#2067;0.00;0.00;No (1);
Mar_Nero;NP#2068;0.00;0.00;No (1);
Mar_Rosso;NP#2069;0.00;0.00;No (1);
Mare-Nostrum;NP#2055;0.00;0.00;No (1);
marina;N#2243;0.00;0.00;No (1);quadro raffigurante un paesaggio di mare
Marina_di_Carrara;NP#50;0.00;0.00;No (1);
marinaio;N#53;0.00;0.00;No (1);uomo di mare  esperto di mare
marinaio;N#54;0.00;0.00;No (1);nella marina mercantile  qualifica del personale di coperta maggiorenne e con almeno due anni di servizio
Marsiglia;NP#2145;0.00;0.00;No (1);
Mascat;NP#1207;0.00;0.00;No (1);
Mazara_del_Vallo;NP#1208;0.00;0.00;No (1);
medico di bordo;N#803;0.00;0.00;No (1);
Mercato_Comune_Europeo;NP#2354;0.00;0.00;No (1);
meridiano;N#1719;0.00;0.00;No (1);ciascuno dei circoli massimi della Sfera Terrestre passanti per i due Poli.
Messina;NP#2448;0.00;0.00;No (1);
meteorologicamente;AV#2574;0.00;0.00;No (1);per quanto riguarda la meteorologia
meteorologico;AG#2575;0.00;0.00;No (1);relativo alla meteorologia
meteorologo;N#2576;0.00;0.00;No (1);
meteoropatia;N#2577;0.00;0.00;No (1);complesso di disturbi legati a particolari condizioni atmosferiche
Milazzo;NP#2379;0.00;0.00;No (1);
Milford_Haven;NP#1209;0.00;0.00;No (1);
minerale;N#2074;0.00;0.00;No (1);sostanza solida inorganica omogenea
Miramare;NP#2592;0.00;0.00;No (1);
missiva;N#260;0.00;0.00;No (1);testo epistolare
mittente;N#487;0.00;0.00;No (1);chi invia una lettera  un pacco ecc.  per posta  posta elettronica  corriere ecc.
Monfalcone;NP#1211;0.00;0.00;No (1);
Monopoli;NP#1212;0.00;0.00;No (1);
Montego_Bay;NP#1213;0.00;0.00;No (1);
Morse;NP#290;0.00;0.00;No (1);inventore statunitense (1791-1872)  dalle scoperte di Ampère trasse spunto per l'invenzione del telegrafo elettrico.
moschettone;N#1724;0.00;0.00;No (1);gancio metallico.
movimento;N#2280;0.00;0.00;No (1);ciascuna parte  caratterizzata da un ritmo diverso  di una composizione musicale.
mozzo;N#812;0.00;0.00;No (1);nell'attuale Marina mercantile membro dell'equipaggio imbarcato come apprendista.
murata;N#459;0.00;0.00;No (1);parete laterale di nave o imbarcazione  dalla linea di galleggiamento alla battagliola. E' la parte emersa della fiancata.
muro;N#2126;0.00;0.00;No (1);costruzione in muratura  in sassi  mattoni o altro  commesso con calcina o cemento.
Nacala;NP#1214;0.00;0.00;No (1);
Nakskov;NP#1215;0.00;0.00;No (1);
Namibe;NP#1216;0.00;0.00;No (1);
Nantes;NP#1217;0.00;0.00;No (1);
Napoli;NP#2380;0.00;0.00;No (1);
Nave_Argo;NP#28;0.00;0.00;No (1);costellazione australe
navigabile;AG#36;0.00;0.00;No (1);che può essere percorso da navi
Newport;NP#1219;0.00;0.00;No (1);
North_Atlantic_Treaty_Organization_(Organizzazione_del_Trattato_nord_atlantico);NP#2355;0.00;0.00;No (1);
nuvolosità;N#2528;0.00;0.00;No (1);
Nyborg;NP#1220;0.00;0.00;No (1);
Oceania;NP#2633;0.00;0.00;No (1);
Odense;NP#1221;0.00;0.00;No (1);
Olbia;NP#2256;0.00;0.00;No (1);
Organizzazione_delle_Nazioni_Unite;NP#2356;0.00;0.00;No (1);
Oslo;NP#1222;0.00;0.00;No (1);
Ostenda;NP#1223;0.00;0.00;No (1);
osteriggio;N#850;0.00;0.00;No (1);chiusura ermetica di boccaporto nelle imbarcazioni da diporto.
Owendo;NP#1224;0.00;0.00;No (1);
Pacifico;NP#2016;0.00;0.00;No (1);
Palermo;NP#2382;0.00;0.00;No (1);
Parigi;NP#2351;0.00;0.00;No (1);
parola;N#2245;0.00;0.00;No (1);
Penisola_del_Sinis-Isola_Mal_di_Ventre;NP#2593;0.00;0.00;No (1);
Pensacola;NP#1225;0.00;0.00;No (1);
percorrere;V#2687;0.00;0.00;No (1);percorrere una distanza.
periplo;N#2686;0.00;0.00;No (1);nella letteratura greco-latina  descrizione di un viaggio marittimo
pesca;N#2027;0.00;0.00;No (1);tipo di lotteria
pescaia;N#2028;0.00;0.00;No (1);sbarramento collocato lungo il corso di un fiume
pescare;V#1550;0.00;0.00;No (1);"termine molto usato nella marineria col significato di ""essere immerso"" relativamente ad uno scafo.
"
pescato;N#2029;0.00;0.00;No (1);quantità di pesce pescato
pescatore;N#2030;0.00;0.00;No (1);chi si dedica alla pesca per mestiere o per sport.
pesce;N#2033;0.00;0.00;No (1);errore di stampa che consiste nel saltare una parola o una frase dell'originale.
pesce;N#2034;0.00;0.00;No (1);il pesce commestibile usato come alimento.
pescheria;N#2038;0.00;0.00;No (1);
peschiera;N#2039;0.00;0.00;No (1);
pesciaiola;N#2040;0.00;0.00;No (1);
peseta;N#2042;0.00;0.00;No (1);moneta
pesista;N#2043;0.00;0.00;No (1);atleta che pratica il sollevamento pesi
Piombino;NP#2383;0.00;0.00;No (1);
pirata;N#2241;0.00;0.00;No (1);"persona avida e priva di scrupoli  che si arricchisce in modo disonesto a spese degli altri: i pirati della finanza  dell'industria.
"
planare;V#1414;0.00;0.00;No (1);dicesi di uno scafo o un galleggiante che  per effetto della velocità e della forma  riesce a navigare a pelo d'acqua o comunque si solleva rispetto alla sua immersione in condizioni normali.
Pola;NP#2342;0.00;0.00;No (1);
Polo_Sud;NP#2634;0.00;0.00;No (1);
Poole;NP#1226;0.00;0.00;No (1);
Portland;NP#1330;0.00;0.00;No (1);
Portland;NP#2162;0.00;0.00;No (1);
Porto_Cesareo;NP#2594;0.00;0.00;No (1);
Porto_Santo_Stefano;NP#1227;0.00;0.00;No (1);
Porto_Vesme;NP#1229;0.00;0.00;No (1);
Portoferraio;NP#1230;0.00;0.00;No (1);
Portofino;NP#2386;0.00;0.00;No (1);
Portofino;NP#2595;0.00;0.00;No (1);
portolano;N#1666;0.00;0.00;No (1);libro che elenca i porti di una regione e ne descrive le coste i fondali i venti e le correnti  indispensabile per la navigazione.
Portsmouth;NP#1231;0.00;0.00;No (1);
Pozzuoli;NP#2388;0.00;0.00;No (1);
premiare;V#2127;0.00;0.00;No (1);
Procida;NP#2389;0.00;0.00;No (1);
proroga;N#2703;0.00;0.00;No (1);posposizione di una scadenza  ritardo.
provento;N#2189;0.00;0.00;No (1);denaro che risulta dalla differenza tra incassi e spese  ciò che si ottiene economicamente  profitto
Providence;NP#1232;0.00;0.00;No (1);
puleggia;N#1658;0.00;0.00;No (1);"rotella del bozzello (o di una carrucola) scanalata alla periferia per consentirne l'aderenza delle cime o dei cavi d'acciaio.
"
Punta_Campanella;NP#2596;0.00;0.00;No (1);
quadrante;N#1664;0.00;0.00;No (1);ciascuno dei quattro settori di 90° compresi tra i quattro punti cardinali nella rosa della bussola  e di conseguenza nell'orizzonte marino.
quota;N#2529;0.00;0.00;No (1);altezza in metri rispetto al livello marino medio.
radio;N#213;0.00;0.00;No (1);apparecchio radiofonico.
radio;N#214;0.00;0.00;No (1);sistema di trasmissione
radiogoniometro;N#1739;0.00;0.00;No (1);strumento in grado di rilevare le onde radio emesse da un radiofaro  per rilevare da bordo la direzione di un radiofaro e quindi ottenere informazioni utili per la navigazione costiera.
Ramsgate;NP#1233;0.00;0.00;No (1);
Ravenna;NP#2390;0.00;0.00;No (1);
recapitare;V#686;0.00;0.00;No (1);
reclamo;N#265;0.00;0.00;No (1);lamentanza
relitto;N#2666;0.00;0.00;No (1);"persona ridotta in stato di miseria fisica o spirituale  che vive ai margini della società: ""l'alcol lo ha trasformato in un relitto umano"".
"
remeggio;N#706;0.00;0.00;No (1);
Reykjavik;NP#1234;0.00;0.00;No (1);
ricevuta;N#266;0.00;0.00;No (1);tagliando che attesta un pagamento
ridosso;N#1772;0.00;0.00;No (1);terra emersa abbastanza alta da costituire un riparo dalla forza del mare e del vento (un'isola  una montagna  etc.).
rifiutare;V#1775;0.00;0.00;No (1);dicesi del vento quando scarseggia e di conseguenza delle vele quando non portano a causa di tale diminuzione.
rifiuto;N#1777;0.00;0.00;No (1);zona della vela che si sgonfia in prossimità del bordo di entrata  a causa di un calo di vento o ad un cambio di direzione  e che quindi diminuisce la sua spinta propulsiva.
Riga;NP#2481;0.00;0.00;No (1);
rimorchiare;V#230;0.00;0.00;No (1);trascinare  dietro o di fianco  una nave o imbarcazione priva dei suoi mezzi di propulsione.
rinfrescare;V#1786;0.00;0.00;No (1);allentare i cavi di ormeggio o le manovre  mutandone i punti di attacco o do volta.
riserva_marina;N#2585;0.00;0.00;No (1);area marina protetta spec. per le sue caratteristiche ecologiche.
ritardo;N#523;0.00;0.00;No (1);il tempo di cui si ritarda
rivaleggiare;N#2104;0.00;0.00;No (1);
rollare;V#974;0.00;0.00;No (1);avvolgere le vele attorno a un sistema di coperta.
Ronne;NP#1235;0.00;0.00;No (1);
Rostock;NP#1236;0.00;0.00;No (1);
rotta;N#216;0.00;0.00;No (1);percorso di una nave o di un mezzo aereo
Rouen;NP#1237;0.00;0.00;No (1);
sagoma;N#524;0.00;0.00;No (1);linea di contorno di una cosa
Sahara;NP#2627;0.00;0.00;No (1);deserto sabbioso.
Saint_Malo;NP#1238;0.00;0.00;No (1);
Salerno;NP#2391;0.00;0.00;No (1);
Salonicco;NP#2413;0.00;0.00;No (1);
salvare;V#742;0.00;0.00;No (1);mettere in salvo.
Samsun;NP#1278;0.00;0.00;No (1);
San_Remo;NP#1279;0.00;0.00;No (1);
Santander;NP#2460;0.00;0.00;No (1);
Savannah;NP#1247;0.00;0.00;No (1);
Savona;NP#2397;0.00;0.00;No (1);
sbandare;V#907;0.00;0.00;No (1);inclinarsi lateralmente a causa del vento  del moto ondoso o di uno spostamento dei pesi a bordo.
sbarcare;V#617;0.00;0.00;No (1);scendere a terra da una imbarcazione. 
sbarcare;V#618;0.00;0.00;No (1);mettere a terra un carico.
