Shared Lemma;IWN_WM_ID;MarT_WM_ID
consegna;N#957;N#243
consegnare;V#37559;V#684
consegnatario;N#24521;N#683
consumatore;N#27054;N#602
contagiri;N#8480;N#1355
contenitore;N#20403;N#603
continentale;AG#44692;AG#2636
continente;N#15127;N#2624
contraliseo;N#11942;N#841
contrarre;V#37457;V#1773
contratto;N#15208;N#244
convenzione;N#10323;N#2602
Copenhagen;NP#46361;NP#1046
coperta;N#26227;N#385
coppa;N#22960;N#2098
corallina;N#18887;N#1946
corazzata;N#17300;N#557
corda;N#12148;N#108
Corinto;NP#47197;NP#2171
Cork;NP#46090;NP#1047
coronamento;N#25171;N#1363
corrente;N#487;N#111
corsaro;N#24342;AG#1277
corvetta;N#17368;N#558
costeggiare;V#40907;V#662
cotto;AG#50588;N#2124
Cristoforo_Colombo;NP#47349;NP#1249
crocetta;N#13126;N#1367
crociera;N#29037;N#1862
Crotone;NP#45749;NP#2369
cubia;N#4818;N#854
cucina;N#28806;N#1370
cucire;V#35698;V#753
cutter;N#21762;N#370
Dakar;NP#47778;NP#1049
dandy;N#5516;N#371
dare;V#32789;V#2146
darsena;N#10935;N#112
dazio;N#7590;N#246
decreto;N#11407;N#2057
dente di cane;N#50281;N#1374
depressione;N#13557;N#959
deriva;N#30310;N#1574
deserto;AG#42366;N#2626
destinazione;N#9925;N#2400
detrazione;N#18401;N#2646
diamante;N#17059;N#1385
dichiarazione;N#11160;N#250
diramazione;N#4538;N#259
direzione;N#2695;N#1892
dirigere;V#36545;V#763
diritto;N#51173;N#489
disalberare;V#33352;V#1437
disarmare;V#35740;V#774
disarmo;N#25892;N#781
disciplina;N#15667;N#2711
disincagliare;V#38502;V#1439
dogana;N#4322;N#252
Doha;NP#48620;NP#1050
doppiare;V#39371;V#1448
Dordrecht;NP#46775;NP#1051
Douglas;NP#47940;NP#1986
Dover;NP#48336;NP#1053
draglia;N#15205;N#1406
dragone;N#27779;N#70
Drammen;NP#48133;NP#1054
drizza;N#31718;N#1405
drizzare;V#40514;V#1846
Dubai;NP#45706;NP#1131
Dublino;NP#45958;NP#2417
duello;N#3622;N#2096
Dundee;NP#47543;NP#1138
Dunkerque;NP#48266;NP#1139
Durazzo;NP#47774;NP#1140
Durban;NP#45909;NP#1141
Eleusi;NP#48176;NP#1142
elica;N#13871;N#116
eliminatoria;N#6451;N#2099
eliografo;N#23998;N#2554
Emden;NP#46307;NP#1143
ente;N#15544;N#1903
equatore;N#24023;N#117
equipaggiare;V#37934;V#702
equipaggio;N#25109;N#182
esportatore;N#19931;N#493
esportazione;N#28878;N#2186
estintore;N#30169;N#1466
Europa;NP#45757;NP#2632
